"t","year","ykali","ykali_ppp","population","carbon_intensity","savings_rate","investment","capital","tfp","consumption","gdp_per_capita","consumption_per_capita","baseline_co2_emissions"
1,2015,0.40529369119617,0.768824491261253,88.956391,0.210195155120579,0.196064724153229,0.150739361801384,1.6683585736775,3.58687615323475,0.618085129459869,8642.71226180087,6948.18126625515,0.085190770290371
2,2020,0.40476349051318,0.767818723643299,93.465782,0.190035369386315,0.197156187689056,0.15138021238979,1.73884586317775,3.41761802621336,0.616438511253509,8214.97137469303,6595.33893648382,0.0769193794337663
3,2025,0.496497702909913,0.941834531708354,97.775295,0.183349127806056,0.198247651224883,0.186716483753669,1.78367215569678,4.03106410996285,0.755118047954685,9632.64321225882,7722.9943203412,0.0910324207862431
4,2030,0.585169376205587,1.11004083639972,101.978899,0.175610985620713,0.19933911476071,0.221274557676158,1.98682298998573,4.466156937408,0.88876627872356,10885.005106789,8715.19782463586,0.102762170910521
5,2035,0.690845546339212,1.31050393144971,105.62855,0.166173377320765,0.200430578296537,0.262665060840351,2.27957189573747,4.93668500698851,1.04783887060936,12406.7208292617,9920.03459868911,0.114800137642196
6,2040,0.812906979215917,1.54204915673335,108.641577,0.155592918109051,0.201522041832364,0.310756894670779,2.65938971291577,5.43834030447996,1.23129226206257,14193.9135947313,11333.5271455289,0.126482569047418
7,2045,0.95187779485073,1.80567074510612,110.980163,0.144146022121342,0.202613505368191,0.365853279206743,3.12412750493353,5.97789366932603,1.43981746589937,16270.2116873456,12973.64706429,0.137209397673367
8,2050,1.10688799664595,2.09971835088991,112.671435,0.133100472967037,0.203704968904018,0.427723061375225,3.67403244642192,6.55161652613332,1.67199528951469,18635.7646983897,14839.5668300017,0.147327315875111
9,2055,1.27708587106645,2.42257631058057,113.739643,0.123397965343513,0.204796432439845,0.496134985720183,4.3080947261638,7.15902024192312,1.92644132486039,21299.3134731448,16937.2900604268,0.157589798058548
10,2060,1.46216460270607,2.77366260870712,114.264137,0.113654655041444,0.205887895975672,0.571063558653102,5.02456178345338,7.80166349049141,2.20259905005402,24274.1308124274,19276.3810928185,0.166181813534369
11,2065,1.66339730175791,3.1553922798921,114.377606,0.103700536043033,0.206979359511499,0.653101073099593,5.8222712807769,8.48568538801126,2.5022912067925,27587.5006501893,21877.4574350901,0.172495191844829
12,2070,1.8762086448858,3.55908613491371,114.102039,0.0951104353307825,0.208070823047325,0.74054198138782,6.70349833408392,9.19057457117375,2.81854415352589,31192.1343922146,24701.9613166237,0.178447020986466
13,2075,2.09970670807786,3.9830522327436,113.456095,0.0895700928186056,0.209162286583152,0.833104312580782,7.66105863823231,9.92087284972451,3.14994792016282,35106.5514174765,27763.5848489481,0.188070924734383
14,2080,2.33015376002908,4.4202002597858,112.449611,0.084429163314789,0.210253750118979,0.929363680896851,8.68930007819371,10.6678263318589,3.49083657888895,39308.2752397054,31043.5629598483,0.196732932354065
15,2085,2.56591246998378,4.86742427086373,111.139615,0.0769210905488336,0.211345213654806,1.02870682247428,9.77776320765686,11.4319186954339,3.83871744838945,43795.583337802,34539.5964201374,0.197372785444004
16,2090,2.80727867747783,5.32528546070013,109.593173,0.0690556460665038,0.212436677190633,1.13128594836273,10.9172055088607,12.2197127369711,4.19399951233741,48591.3977570495,38268.8026774935,0.193858442761952
17,2095,3.05463480216405,5.79450926273112,107.87891,0.0616034955893179,0.21352814072646,1.23729078929323,12.1029304227408,13.0344861711701,4.5572184734379,53713.0868557267,42243.8312867445,0.18817618156209
18,2100,3.30855769150068,6.27618993147692,106.082222,0.0557210878526642,0.214619604262287,1.34699339936853,13.3331133317904,13.8760795555644,4.9291965321084,59163.4471181884,46465.8115108901,0.184356433793717
19,2105,3.57315312002335,6.7781159425224,104.406431587906,0.048154569225742,0.215711067798114,1.46211462762093,14.6080370881315,14.7442388501598,5.31600131490148,64920.4827656184,50916.4161062778,0.17206364927234
20,2110,3.84716923169011,7.29791257944468,102.846239835117,0.0430270392166363,0.216802531333941,1.58220592067742,15.9364729582754,15.6296445368989,5.71570665876726,70959.4496711277,55575.2613603639,0.165532301404967
21,2115,4.12906206333499,7.83265101132091,101.396776739972,0.038718382907722,0.217893994869768,1.70668761927744,17.3213575205191,16.5240802026564,6.12596339204347,77247.5345188481,60415.760628696,0.159870606017953
22,2120,4.41698849223178,8.3788349145638,100.053572741753,0.0350833802599532,0.218985458405595,1.83484300467056,18.7615264986785,17.4196875752397,6.54399190989325,83743.4854644349,65404.8799115233,0.154962886876805
23,2125,4.70880666279695,8.93240128235846,98.8125329383215,0.032006378509737,0.220076921941422,1.96581537976706,20.2527088055575,18.3085886516617,6.9665859025914,90397.4528001832,70503.0596365739,0.150711848378651
24,2130,5.00208509098617,9.48873769530633,97.6699137745893,0.0293947691538125,0.221168385477249,2.09860879628801,21.7880989214289,19.1827150993268,7.39012889901832,97151.0809071177,75664.3331955209,0.147035136537266
25,2135,5.29412145168465,10.0427179602869,96.6223019942828,0.0271740313376956,0.222259849013076,2.23209297753426,23.3586985135546,20.0337618856902,7.81062498275261,103937.887558103,80836.6683627013,0.143862622233645
26,2140,5.58197177027561,10.5887574855924,95.6665956700969,0.0252839410156872,0.223351312548902,2.36501288266908,24.9535427729402,20.8532194710246,8.22374460292332,110683.958297287,85962.5509334798,0.141134244990879
27,2145,5.86249036664348,11.1208890529635,94.7999871477224,0.0236756542635799,0.224442776084729,2.49600321157741,26.5598818853388,21.6324581062469,8.62488584138613,117308.972158766,90979.8207878063,0.138798295044219
28,2150,6.13238044730139,11.6328587886529,94.0199477575816,0.0223094509329885,0.225534239620556,2.62360796151214,28.1633607123608,22.362847853623,9.00925082714078,123727.560651775,95822.7593400709,0.136810040691489
29,2155,6.38825472595562,12.1182411579974,93.3242141646939,0.0211529808130543,0.226625703156383,2.74630492344979,29.7482226746027,23.0359031863163,9.37193623454763,129850.985261036,100423.414420704,0.135130629647043
30,2160,6.62670489901672,12.5705707574388,92.7107762421479,0.0201798950507627,0.22771716669221,2.8625347565879,31.2975526243751,23.6434436413888,9.70803600085085,135589.100501177,104713.134700704,0.133726209394532
31,2165,6.84437824143376,12.983487613487,92.1778663673406,0.0193687752352276,0.228808630228037,2.97073401642465,32.7935656321068,24.1777632175506,10.0127535970624,140852.550890537,108624.271657149,0.132567223783213
32,2170,7.0380590559548,13.3508916884227,91.7239500526665,0.0187022943878195,0.229900093763864,3.06937125099958,34.217942652226,24.6318017216852,10.2815204374231,145555.132337376,112091.993765201,0.131627852383326
33,2175,7.2047522444306,13.6671014114223,91.3477178338239,0.0181665603103509,0.230991557299691,3.15698503879724,35.5522092117108,24.9993114898351,10.5101163726251,149616.232737034,115056.146139793,0.130885566169584
34,2180,7.34176591178419,13.927010374693,91.0480783495181,0.0177506038824207,0.232083020835518,3.23222263896636,36.7781492114093,25.2750130876764,10.6947877357267,152963.254438272,117463.080271406,0.13032077849754
35,2185,7.44678969691333,14.1262359237854,90.8241525561849,0.0174459840788179,0.233174484371345,3.29387777763663,37.8782425226769,25.4547338816797,10.8323581461488,155533.913900785,119267.373724712,0.129916574490655
36,2190,7.51796547823728,14.261253282938,90.6752690305665,0.0172464885017409,0.234265947907172,3.34092601867174,38.8361123153986,25.5355238496041,10.9203272642663,157278.312327152,120433.359404592,0.129658505176905
37,2195,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.235357411442999,3.3725561747433,39.6369660544784,25.5157437067689,10.9569529495534,158160.675929102,120936.388650353,0.129534435237622
38,2200,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.236448874978826,3.38819631143877,40.2680129592255,25.395121367394,10.9413128128579,158160.675929102,120763.762039775,0.129534435237622
39,2205,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.237540338514653,3.40383644813424,40.7188405294869,25.3104421390334,10.9256726761625,158160.675929102,120591.135429197,0.129534435237622
40,2210,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.23863180205048,3.41947658482971,41.0632503849279,25.2465684002843,10.910032539467,158160.675929102,120418.508818618,0.129534435237622
41,2215,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.239723265586306,3.43511672152518,41.3448216439446,25.1948638492674,10.8943924027715,158160.675929102,120245.88220804,0.129534435237622
42,2220,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.240814729122133,3.45075685822065,41.5892873401588,25.1503428123116,10.878752266076,158160.675929102,120073.255597462,0.129534435237622
43,2225,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.24190619265796,3.46639699491612,41.8118425725936,25.1101068458608,10.8631121293806,158160.675929102,119900.628986883,0.129534435237622
44,2230,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.242997656193787,3.48203713161159,42.0214598952714,25.0724637288832,10.8474719926851,158160.675929102,119728.002376305,0.129534435237622
45,2235,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.244089119729614,3.49767726830705,42.2234375116167,25.0364227647071,10.8318318559896,158160.675929102,119555.375765727,0.129534435237622
46,2240,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.245180583265441,3.51331740500252,42.4209039577698,25.0014027938739,10.8161917192942,158160.675929102,119382.749155148,0.129534435237622
47,2245,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.246272046801268,3.52895754169799,42.6157066030361,24.967062274164,10.8005515825987,158160.675929102,119210.12254457,0.129534435237622
48,2250,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.247363510337095,3.54459767839346,42.8089363005168,24.9332000516339,10.7849114459032,158160.675929102,119037.495933992,0.129534435237622
49,2255,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.248454973872922,3.56023781508893,43.0012371880595,24.8996972934048,10.7692713092078,158160.675929102,118864.869323413,0.129534435237622
50,2260,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.249546437408749,3.5758779517844,43.1929896226219,24.8664834657561,10.7536311725123,158160.675929102,118692.242712835,0.129534435237622
51,2265,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.250637900944576,3.59151808847987,43.384418201184,24.8335163857498,10.7379910358168,158160.675929102,118519.616102256,0.129534435237622
52,2270,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.251729364480403,3.60715822517534,43.5756555460165,24.8007705194369,10.7223508991214,158160.675929102,118346.989491678,0.129534435237622
53,2275,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.25282082801623,3.62279836187081,43.766779969244,24.7682301155858,10.7067107624259,158160.675929102,118174.3628811,0.129534435237622
54,2280,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.253912291552057,3.63843849856628,43.9578377133929,24.7358851759822,10.6910706257304,158160.675929102,118001.736270521,0.129534435237622
55,2285,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.255003755087883,3.65407863526175,44.1488560842128,24.7037290901199,10.675430489035,158160.675929102,117829.109659943,0.129534435237622
56,2290,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.25609521862371,3.66971877195721,44.3398512054755,24.6717572466524,10.6597903523395,158160.675929102,117656.483049365,0.129534435237622
57,2295,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.257186682159537,3.68535890865268,44.5308325981073,24.6399662181271,10.644150215644,158160.675929102,117483.856438786,0.129534435237622
58,2300,7.55394724287199,14.3295091242967,90.6009603216424,0.0171479136765024,0.258278145695364,3.70099904534815,44.7218058841198,24.6399662181271,10.6285100789485,158160.675929102,117311.229828208,0.129534435237622
